"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMC","ACMC_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSC","ACSC_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFI","WDFI_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV07","WV07_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00023183","1933-06-12","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  444",",,6","  194",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  306",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-13","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  422",",,6","  244",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  328",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-14","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  411",",,6","  272",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  278",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-15","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  406",",,6","  256",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  278",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-16","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  400",",,6","  233",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  272",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-17","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  389",",,6","  244",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  272",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-18","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  389",",,6","  261",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  283",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-19","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  406",",,6","  217",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  250",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-20","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  400",",,6","  222",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  294",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023183","1933-06-21","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US",,,,,,,"  411",",,6","  250",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  289",",,6,null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
